nome	frequencia	frequencia_normalizada
maria	11734129.0	0.0654631349000013
jose	5754529.0	0.032103746960082814
ana	3089858.0	0.017237904157679555
joao	2984119.0	0.01664800043144719
antonio	2576348.0	0.014373100608775356
francisco	1772197.0	0.009886849827573705
carlos	1489191.0	0.008307997238215794
paulo	1423262.0	0.007940188172811604
pedro	1219605.0	0.006804013032387499
lucas	1127310.0	0.00628911158247199
luiz	1107792.0	0.006180223273252088
marcos	1106165.0	0.006171146458050695
luis	935905.0	0.005221288709932005
gabriel	932449.0	0.00520200814856998
rafael	821638.0	0.004583808413301684
francisca	725642.0	0.004048259579821114
daniel	711338.0	0.003968459478628293
marcelo	693215.0	0.003867353687666499
bruno	668217.0	0.0037278931920276463
eduardo	632664.0	0.003529547764335506
felipe	621460.0	0.003467042148160704
raimundo	613361.0	0.0034218589113345953
rodrigo	601650.0	0.003356524810029427
antonia	592815.0	0.003307235527728072
manoel	592345.0	0.003304613460644695
mateus	588819.0	0.003284942378653232
andre	583808.0	0.003256986680451524
adriana	567968.0	0.003168617440875581
juliana	564706.0	0.0031504191795437174
fernando	556346.0	0.003103779858656414
marcia	553706.0	0.0030890516520604232
fabio	547965.0	0.003057023381580279
leonardo	547601.0	0.0030549926743071954
gustavo	541480.0	0.0030208444346958097
fernanda	534757.0	0.0029833377176712475
patricia	531065.0	0.0029627405439014
guilherme	529001.0	0.0029512257641990803
aline	511737.0	0.002854912219247118
leandro	509248.0	0.0028410264214374895
tiago	495211.0	0.002762715877502672
sandra	480379.0	0.002679970134990652
anderson	473250.0	0.0026401983983153432
camila	471559.0	0.0026307645356813203
ricardo	469703.0	0.002620410160135048
marcio	468046.0	0.00261116597894961
amanda	466432.0	0.0026021616890079704
jorge	465949.0	0.0025994670966648405
bruna	463548.0	0.002586072239075078
sebastiao	462505.0	0.0025802534816964347
jessica	458284.0	0.0025567050877412546
alexandre	444097.0	0.00247755771388621
roberto	437288.0	0.0024395712143740513
leticia	435628.0	0.0024303102965902088
julia	431842.0	0.002409188709403686
edson	431543.0	0.0024075206284293674
luciana	431401.0	0.0024067284294382193
diego	424428.0	0.002367826995879946
vitor	422903.0	0.0023593192250243077
vanessa	418838.0	0.002336641134186163
sergio	404991.0	0.0022593905748169657
mariana	383387.0	0.002138864750839777
gabriela	381650.0	0.002129174260363551
vera	376958.0	0.002102998220458859
vitoria	369004.0	0.0020586239192223028
larissa	361845.0	0.0020186848165629485
claudia	359494.0	0.002005568902279928
beatriz	356351.0	0.0019880345260181106
luana	356300.0	0.0019877500038452335
rita	355552.0	0.0019835770119763694
sonia	355219.0	0.0019817192495534663
claudio	352031.0	0.001963933824315581
matheus	350434.0	0.0019550243750982334
renata	347001.0	0.0019358721276573109
thiago	343737.0	0.001917662708593177
eliane	343168.0	0.0019144883337624504
josefa	342606.0	0.0019113530109946676
simone	340499.0	0.0018995983400485494
geraldo	340357.0	0.0018988061410574015
adriano	338315.0	0.0018874140964100481
luciano	337492.0	0.0018828226895810708
julio	336030.0	0.0018746663872919276
natalia	335326.0	0.0018707388655329969
renato	329535.0	0.0018384316517461102
cristiane	328790.0	0.0018342753964756507
carla	326684.0	0.0018225263043956672
debora	313947.0	0.001751468286436148
alex	311536.0	0.0017380176401850368
rosangela	310889.0	0.0017344081137957922
jaqueline	309115.0	0.0017245112052725776
rosa	307184.0	0.001713738414766192
vinicius	304822.0	0.0017005611329556883
daniela	304310.0	0.0016977047534946477
aparecida	304024.0	0.0016961091977800821
marlene	301890.0	0.0016842038974483231
terezinha	299037.0	0.0016682873923656108
raimunda	297300.0	0.001658596901889385
rogerio	293596.0	0.0016379327817259196
samuel	293243.0	0.0016359634419803194
andreia	292090.0	0.0016295310093268432
fabiana	291910.0	0.0016285268134225712
lucia	287917.0	0.0016062504009461355
raquel	286415.0	0.0015978709440115984
angela	278796.0	0.0015553655629302152
rafaela	275017.0	0.0015342830278066366
ronaldo	270324.0	0.0015081014090358093
joana	269732.0	0.0015047987202839812
mario	269379.0	0.001502829380538381
flavio	266719.0	0.0014879895966196936
igor	266629.0	0.0014874874986675576
douglas	266507.0	0.0014868068769991064
luzia	258948.0	0.001444636227885814
elaine	257073.0	0.0014341758538829797
davi	255976.0	0.001428055837733055
jeferson	253819.0	0.0014160222234801945
manuel	253784.0	0.001415826963165475
daniele	253502.0	0.0014142537229154487
regina	253086.0	0.0014119329146033532
cicero	248627.0	0.00138705675050808
daiane	244811.0	0.0013657677973375117
sueli	244584.0	0.001364501394724902
alessandra	243633.0	0.0013591958930306645
victor	242154.0	0.0013509447500172289
miguel	240880.0	0.0013438372745614366
isabel	239654.0	0.0013369975846801167
robson	236282.0	0.0013181856480734197
mauricio	235778.0	0.001315373899541458
sara	234286.0	0.0013070502312682694
flavia	233904.0	0.0013049191044047586
bianca	233715.0	0.001303864698705273
danilo	233329.0	0.0013017112563772227
erica	232056.0	0.0012946093597875654
viviane	230822.0	0.0012877250389771667
henrique	228718.0	0.001275987104629453
caio	227778.0	0.0012707429704626988
reginaldo	225817.0	0.001259802813972268
silvana	223894.0	0.0012490746543949614
priscila	223128.0	0.00124480124293567
paula	222577.0	0.0012417272876953705
luiza	220521.0	0.0012302571389221295
tereza	219822.0	0.0012263575114938728
isabela	216884.0	0.0012099668027896987
marta	214961.0	0.0011992386432123918
joaquim	214504.0	0.0011966891013887677
benedito	214024.0	0.0011940112456440422
caroline	213648.0	0.0011919135919773406
gilberto	213266.0	0.0011897824651138297
janaina	210831.0	0.0011761979260754825
laura	210549.0	0.0011746246858254563
marli	210457.0	0.0011741114301410506
tatiane	209605.0	0.0011693582361941627
marina	208542.0	0.0011634279014928225
marco	208076.0	0.0011608281498739848
alan	207442.0	0.0011572911487444932
silvia	204496.0	0.0011408558091112401
monica	203930.0	0.001137698170878918
tais	202516.0	0.0011298096541642474
michele	202003.0	0.0011269476958370719
nelson	200581.0	0.0011190145481933223
solange	200064.0	0.0011161302744016077
edna	199612.0	0.0011136086269086577
fatima	198083.0	0.0011050785405884798
helena	197591.0	0.0011023337384501362
cristiano	195807.0	0.001092381041265573
cristina	192698.0	0.0010750363464523403
alice	192260.0	0.001072592803085278
carolina	191221.0	0.0010667963611711742
rosana	190764.0	0.0010642468193475501
elias	190702.0	0.0010639009296471897
wilson	188800.0	0.0010532899262587147
valdir	188122.0	0.00104950745501929
andressa	185738.0	0.0010362074381538198
celia	184516.0	0.0010293900637370393
valeria	184492.0	0.001029256170949803
eliana	181921.0	0.0010149129061171169
sabrina	179643.0	0.0010022042490619402
emerson	177935.0	0.000992675545703625
luan	177028.0	0.0009876155141193207
andrea	176094.0	0.0009824048531493757
david	174957.0	0.000976061682354057
tania	172608.0	0.0009629569258033064
renan	171593.0	0.0009572943766764388
barbara	171342.0	0.0009558940812765928
severino	170695.0	0.0009522845548873481
thais	169620.0	0.0009462872737923899
denise	169315.0	0.0009445857196212622
roseli	169171.0	0.0009437823628978445
fabricio	167879.0	0.0009365744678516249
mauro	166776.0	0.000930420978504891
gisele	165343.0	0.0009224264633336583
jonas	165105.0	0.0009210986931935652
marilene	164393.0	0.0009171265405055557
katia	163681.0	0.0009131543878175461
eva	161039.0	0.0008984150234892859
gilmar	160511.0	0.0008954693821700878
jean	160076.0	0.0008930425754014302
fabiano	159150.0	0.0008878765453605639
milena	159042.0	0.0008872740278180006
wesley	157188.0	0.0008769308100039982
diogo	156119.0	0.000870967002105849
adilson	155430.0	0.0008671231633389409
jair	152403.0	0.0008502359355487654
eduarda	152299.0	0.0008496557334707415
alessandro	150491.0	0.000839569143498942
everton	148127.0	0.0008263807039561687
osvaldo	147308.0	0.0008218116125917307
elisangela	147269.0	0.0008215940368124717
vilma	145794.0	0.0008133652092635756
geovana	145653.0	0.0008125785891385625
willian	145121.0	0.000809610632354825
gilson	144757.0	0.0008075799250817414
luciene	144661.0	0.0008070443539327963
joel	144437.0	0.000805794687918591
tamires	143707.0	0.0008017221156401543
roberta	143553.0	0.0008008629702553881
tatiana	142916.0	0.000797309232527492
elza	141601.0	0.000789973023560171
talita	141042.0	0.0007868544373907927
silvio	141010.0	0.0007866759136744776
marcela	140391.0	0.0007832225955370087
pamela	138571.0	0.000773069059171591
helio	137525.0	0.0007672335651945432
irene	137496.0	0.0007670717780766327
vania	137402.0	0.0007665473646599573
