rank	nome	frequencia	percent
1	silva	34030104	16.7569
2	santos	21367475	10.5217
3	oliveira	11708947	5.7657
4	souza	9197158	4.5288
5	pereira	6888212	3.3919
6	ferreira	6226228	3.0659
7	lima	6094630	3.0011
8	alves	5756825	2.8347
9	rodrigues	5428540	2.6731
10	costa	4861083	2.3937
11	sousa	4797390	2.3623
12	gomes	4046634	1.9926
13	nascimento	3609232	1.7772
14	araujo	3460940	1.7042
15	ribeiro	3127425	1.54
16	almeida	3069183	1.5113
17	jesus	2859490	1.4081
18	barbosa	2738119	1.3483
19	soares	2615284	1.2878
20	carvalho	2599978	1.2803
21	martins	2576764	1.2688
22	lopes	2337914	1.1512
23	vieira	2102389	1.0352
24	rocha	2044495	1.0067
25	dias	2035387	1.0023
26	goncalves	2028298	0.9988
27	fernandes	1835974	0.9041
28	santana	1815982	0.8942
29	andrade	1707452	0.8408
30	batista	1703130	0.8386
31	nunes	1569246	0.7727
32	freitas	1534767	0.7557
33	conceicao	1534490	0.7556
34	melo	1522803	0.7499
35	moreira	1517636	0.7473
36	cardoso	1486310	0.7319
37	reis	1483376	0.7304
38	cruz	1476511	0.7271
39	ramos	1354309	0.6669
40	mendes	1329652	0.6547
41	marques	1328317	0.6541
42	machado	1268583	0.6247
43	rosa	1197956	0.5899
44	brito	1175392	0.5788
45	moraes	1135109	0.5589
46	junior	1134562	0.5587
47	moura	1073564	0.5286
48	teixeira	1042878	0.5135
49	barros	1027857	0.5061
50	castro	1023684	0.5041
51	borges	997788	0.4913
52	filho	994185	0.4896
53	maria	970996	0.4781
54	aparecida	937109	0.4614
55	campos	883403	0.435
56	miranda	876649	0.4317
57	bezerra	874360	0.4305
58	monteiro	861799	0.4244
59	pinheiro	850059	0.4186
60	paula	828355	0.4079
61	cunha	827405	0.4074
62	pinto	824756	0.4061
63	leite	789824	0.3889
64	neto	775845	0.382
65	matos	746863	0.3678
66	farias	740653	0.3647
67	neves	736163	0.3625
68	correia	718386	0.3537
69	duarte	685449	0.3375
70	viana	674291	0.332
71	silveira	665854	0.3279
72	nogueira	661273	0.3256
73	morais	658511	0.3243
74	medeiros	657549	0.3238
75	tavares	644373	0.3173
76	coelho	639315	0.3148
77	azevedo	628861	0.3097
78	fonseca	618921	0.3048
79	jose	616971	0.3038
80	garcia	615356	0.303
81	guimaraes	601971	0.2964
82	pires	590896	0.291
83	correa	580641	0.2859
84	macedo	569655	0.2805
85	franca	553981	0.2728
86	amaral	535462	0.2637
87	xavier	527569	0.2598
88	assis	517322	0.2547
89	mota	510309	0.2513
90	henrique	510012	0.2511
91	carmo	507209	0.2498
92	siqueira	501236	0.2468
93	menezes	500734	0.2466
94	queiroz	496368	0.2444
95	aguiar	493683	0.2431
96	sales	490720	0.2416
97	braga	484731	0.2387
98	amorim	481495	0.2371
99	cavalcante	475296	0.234
100	cordeiro	470447	0.2317
101	dantas	458028	0.2255
102	abreu	452712	0.2229
103	carneiro	437602	0.2155
104	cristina	417368	0.2055
105	paiva	417301	0.2055
106	magalhaes	415199	0.2045
107	anjos	410698	0.2022
108	maciel	408508	0.2012
109	maia	399521	0.1967
110	felix	397865	0.1959
111	camargo	395666	0.1948
112	faria	391084	0.1926
113	chaves	376383	0.1853
114	barreto	370994	0.1827
115	francisco	370889	0.1826
116	antonio	369764	0.1821
117	luz	368011	0.1812
118	leal	362720	0.1786
119	carlos	356002	0.1753
120	sa	344780	0.1698
121	mendonca	343744	0.1693
122	sampaio	340113	0.1675
123	torres	339239	0.167
124	cabral	337455	0.1662
125	vasconcelos	330105	0.1625
126	bispo	327621	0.1613
127	chagas	324642	0.1599
128	sena	311506	0.1534
129	antunes	302373	0.1489
130	marinho	298204	0.1468
131	lemos	297570	0.1465
132	guedes	297024	0.1463
133	feitosa	293972	0.1448
134	perreira	293382	0.1445
135	freire	293042	0.1443
136	candido	291611	0.1436
137	luiz	290743	0.1432
138	bastos	289882	0.1427
139	fatima	289158	0.1424
140	bueno	287753	0.1417
141	vitoria	287400	0.1415
142	prado	287265	0.1415
143	santiago	286672	0.1412
144	albuquerque	276583	0.1362
145	figueiredo	274842	0.1353
146	gabriel	274220	0.135
147	trindade	272539	0.1342
148	brandao	271997	0.1339
149	arruda	271379	0.1336
150	diniz	267765	0.1319
151	pacheco	265114	0.1305
152	franco	264859	0.1304
153	passos	261654	0.1288
154	lira	260301	0.1282
155	dutra	257262	0.1267
156	caetano	253518	0.1248
157	paixao	249410	0.1228
158	alencar	241054	0.1187
159	aparecido	238056	0.1172
160	gonsalves	231908	0.1142
161	mesquita	230478	0.1135
162	vicente	226624	0.1116
163	lourenco	226211	0.1114
164	augusto	225978	0.1113
165	coutinho	223947	0.1103
166	matias	222756	0.1097
167	lacerda	222305	0.1095
168	aquino	221980	0.1093
169	muniz	220300	0.1085
170	evangelista	212344	0.1046
171	felipe	211357	0.1041
172	lucas	210835	0.1038
173	pontes	209090	0.103
174	bento	207180	0.102
175	paz	206498	0.1017
176	gama	203330	0.1001
177	rezende	203262	0.1001
178	miguel	203091	0.1
179	mello	201694	0.0993
180	alexandre	201056	0.099
181	teles	200326	0.0986
182	mariano	200234	0.0986
183	simoes	192058	0.0946
184	peixoto	191302	0.0942
185	pimentel	189637	0.0934
186	paulo	188073	0.0926
187	cesar	187331	0.0922
188	roberto	185043	0.0911
189	domingos	184696	0.0909
190	domingues	184597	0.0909
191	fagundes	184208	0.0907
192	galvao	181444	0.0893
193	vaz	179422	0.0884
194	pessoa	178517	0.0879
195	texeira	175813	0.0866
196	ferraz	175318	0.0863
197	vargas	175026	0.0862
198	furtado	174176	0.0858
199	paulino	172212	0.0848
200	inacio	171742	0.0846
201	resende	169873	0.0836
202	porto	169603	0.0835
203	pedro	168117	0.0828
204	couto	167874	0.0827
205	lisboa	167581	0.0825
206	assuncao	167286	0.0824
207	cerqueira	164939	0.0812
208	alcantara	161028	0.0793
209	santo	158904	0.0782
210	sobrinho	153839	0.0758
211	fereira	151405	0.0746
212	saraiva	147341	0.0726
213	rosario	146731	0.0723
214	peres	145619	0.0717
215	damasceno	145193	0.0715
216	vale	144963	0.0714
217	barroso	144064	0.0709
218	teodoro	142234	0.07
219	bernardo	141914	0.0699
220	leao	140137	0.069
221	pedroso	139730	0.0688
222	gonzaga	138268	0.0681
223	goes	136005	0.067
224	luis	133978	0.066
225	eduardo	133456	0.0657
226	lins	131677	0.0648
227	gracas	130223	0.0641
228	padilha	129905	0.064
229	santoa	128884	0.0635
230	flores	128605	0.0633
231	lucia	128000	0.063
232	braz	127688	0.0629
233	viera	127404	0.0627
234	vitor	127076	0.0626
235	custodio	126793	0.0624
236	rabelo	126456	0.0623
237	firmino	124136	0.0611
238	galdino	123974	0.061
239	veloso	123973	0.061
240	novaes	123022	0.0606
241	regina	122913	0.0605
242	vidal	121861	0.06
243	rangel	121693	0.0599
244	bandeira	120936	0.0596
245	bonfim	120844	0.0595
246	sanches	120451	0.0593
247	meneses	118708	0.0585
248	marcelino	118248	0.0582
249	paes	117884	0.058
250	elias	117138	0.0577
251	lemes	116934	0.0576
252	messias	116217	0.0572
253	pimenta	114218	0.0562
254	toledo	113790	0.056
255	doa	111084	0.0547
256	sabino	110796	0.0546
257	aragao	110641	0.0545
258	lucena	110443	0.0544
259	figueredo	110361	0.0543
260	jorge	109496	0.0539
261	vilela	108878	0.0536
262	ricardo	107684	0.053
263	mattos	107631	0.053
264	fontes	107565	0.053
265	leandro	107288	0.0528
266	veiga	106536	0.0525
267	neres	106231	0.0523
268	ramalho	106017	0.0522
269	brasil	105065	0.0517
270	ventura	104457	0.0514
271	pinho	104396	0.0514
272	avila	103072	0.0508
273	penha	102976	0.0507
274	meireles	101508	0.05
275	venancio	101433	0.0499
276	camilo	100869	0.0497
277	fernando	100688	0.0496
278	guerra	99757	0.0491
279	nobre	99637	0.0491
280	dourado	99621	0.0491
281	pantoja	98878	0.0487
282	eduarda	98860	0.0487
283	bernardes	98160	0.0483
284	borba	98042	0.0483
285	socorro	96348	0.0474
286	meira	94759	0.0467
287	moreno	94649	0.0466
288	cavalcanti	94346	0.0465
289	barcelos	93450	0.046
290	botelho	93445	0.046
291	lara	93166	0.0459
292	espirito	93139	0.0459
293	helena	93037	0.0458
294	novais	92372	0.0455
295	francisca	91719	0.0452
296	afonso	91226	0.0449
297	rios	91190	0.0449
298	barboza	90807	0.0447
299	fraga	90437	0.0445
300	guilherme	90141	0.0444
301	nonato	89396	0.044
302	faustino	88860	0.0438
303	lino	88773	0.0437
304	rego	88712	0.0437
305	tenorio	88019	0.0433
306	caldas	87760	0.0432
307	avelino	87447	0.0431
308	silvestre	86738	0.0427
309	lobo	86675	0.0427
310	amaro	86483	0.0426
311	alvez	86346	0.0425
312	andre	85339	0.042
313	luiza	85179	0.0419
314	motta	85155	0.0419
315	deus	84032	0.0414
316	goulart	83471	0.0411
317	santis	83466	0.0411
318	marcos	83042	0.0409
319	alberto	83014	0.0409
320	rufino	82816	0.0408
321	simao	82670	0.0407
322	holanda	82200	0.0405
323	serra	81206	0.04
324	jardim	81121	0.0399
325	godoi	81047	0.0399
326	lobato	80897	0.0398
327	roque	80557	0.0397
328	gouveia	80334	0.0396
329	beatriz	80230	0.0395
330	portela	80184	0.0395
331	raimundo	79791	0.0393
332	camara	79788	0.0393
333	alvarenga	78641	0.0387
334	vinicius	78413	0.0386
335	ridrigues	78243	0.0385
336	justino	78071	0.0384
337	serafim	77465	0.0381
338	clara	76083	0.0375
339	linhares	75949	0.0374
340	dores	75914	0.0374
341	fernanda	75246	0.0371
342	castilho	75153	0.037
343	rafael	74587	0.0367
344	falcao	74533	0.0367
345	souto	74527	0.0367
346	mata	74388	0.0366
347	branco	73860	0.0364
348	pedrosa	73837	0.0364
349	cassia	73636	0.0363
350	daniel	73162	0.036
351	mateus	72862	0.0359
352	godoy	72581	0.0357
353	severino	72405	0.0357
354	esteves	72255	0.0356
355	veras	71651	0.0353
356	chavier	71642	0.0353
357	muller	70817	0.0349
358	silverio	69895	0.0344
359	damaceno	69482	0.0342
360	manoel	69436	0.0342
361	ribas	69385	0.0342
362	nobrega	68621	0.0338
363	fernades	68356	0.0337
364	caldeira	68240	0.0336
365	aires	68115	0.0335
366	sobral	67557	0.0333
367	feliciano	67215	0.0331
368	victor	67135	0.0331
369	amorin	66710	0.0328
370	arantes	66495	0.0327
371	gregorio	65192	0.0321
372	tomaz	65008	0.032
373	benedito	64722	0.0319
374	coimbra	64589	0.0318
375	balbino	64299	0.0317
376	salvador	64201	0.0316
377	nacimento	64193	0.0316
378	valente	63969	0.0315
379	modesto	63390	0.0312
380	rossi	63342	0.0312
381	clemente	63149	0.0311
382	oluveira	63006	0.031
383	severo	62643	0.0308
384	quirino	62161	0.0306
385	lurdes	62066	0.0306
386	prates	61830	0.0304
387	angelo	61253	0.0302
388	queiros	61029	0.0301
389	sodre	60182	0.0296
390	belo	60157	0.0296
391	figueira	60006	0.0295
392	quadros	59947	0.0295
393	lourdes	59767	0.0294
394	geraldo	59619	0.0294
395	ferrari	59404	0.0293
396	florencio	59207	0.0292
397	donizete	58985	0.029
398	jacinto	58772	0.0289
399	gois	58342	0.0287
400	romao	58297	0.0287
401	gaspar	58106	0.0286
402	carolina	57959	0.0285
403	bomfim	57952	0.0285
404	celestino	57945	0.0285
405	saldanha	57800	0.0285
406	noronha	57403	0.0283
407	pena	57313	0.0282
408	vital	56967	0.0281
409	vitorino	56865	0.028
410	amancio	56186	0.0277
